order_id,customer_name,product_name,category,unit_price,quantity,order_date,country
1001,Ayesha Noor,WIRELESS MOUSE,Electronics,18.5,2,2026-05-20,USA
1002,Ayesha Noor,  BALL PEN PACK  ,Stationery,3.2,1,06-29-2026,UAE
1003,Ali Raza,Office Chair,Furniture,120.0,2,2026-02-09,PAKISTAN
1004,Zainab Malik,  WIRELESS MOUSE  ,Electronics,18.5,3,2026-05-18,UAE
1005,  ,Wireless Mouse,Electronics,18.5,5,01-12-2026,pakistan
1006,Sana Khan,Desk Lamp,Furniture,22.0,-1,2026-04-04,PAKISTAN
1007,Sana Khan,NOTEBOOK SET,Stationery,6.5,2,29/04/2026,PAKISTAN
1008,Ali Raza,WATER BOTTLE,Home,9.99,2,13/04/2026,Pakistan
1009,Zainab Malik,Office Chair,Furniture,120.0,2,14/06/2026,pakistan
1010,,DESK LAMP,Furniture,22.0,3,30/05/2026,PAKISTAN
1011,Fatima Sheikh,  Office Chair  ,Furniture,120.0,1,02-09-2026,pakistan
1012,  ,Ball Pen Pack,Stationery,3.2,0,01-03-2026,
1013,Hassan Iqbal,Wireless Mouse,Electronics,18.5,5,2026-04-27,
1014,,Desk Lamp,Furniture,22.0,1,06-13-2026,USA
1015,,OFFICE CHAIR,Furniture,120.0,1,29/01/2026,PAKISTAN
1016,Sana Khan,OFFICE CHAIR,Furniture,120.0,1,07-14-2026,pakistan
1017,M. Bilal,Mechanical Keyboard,Electronics,65.0,3,02-24-2026,
1018,Zainab Malik,Office Chair,Furniture,120.0,0,2026-03-05,Pakistan
1019,  ,NOTEBOOK SET,Stationery,,2,07-01-2026,Pakistan
1020,Zainab Malik,  OFFICE CHAIR  ,Furniture,120.0,1,2026-05-05,USA
1021,  ,Mechanical Keyboard,Electronics,65.0,0,2026-04-15,Pakistan
1022,Usman Tariq,Wireless Mouse,Electronics,18.5,0,06-17-2026,Pakistan
1023,Sana Khan,Laptop,Electronics,750.0,2,05/02/2026,pakistan
1024,Sana Khan,Desk Lamp,Furniture,22.0,0,2026-01-26,
1025,Ayesha Noor,Water Bottle,Home,9.99,2,2026-04-13,pakistan
1026,Fatima Sheikh,BALL PEN PACK,Stationery,3.2,3,07-20-2026,
1027,Ali Raza,BLUETOOTH SPEAKER,Electronics,45.0,1,30/05/2026,USA
